Year,Title,Journal,Authors,Cite,Source
2011,"28aGAB-3 相対論的強度のレーザープラズマ相互作用による高次高調波の観測 (28aGAB ビーム物理領域, 領域 2 合同レーザー加速, 領域 2 (プラズマ基礎・プラズマ科学・核融合プラズマ・プラズマ宇宙物理))","日本物理学会講演概要集 66.1. 2, 274, 2011","M Kando, A Pirozhkov, T Esirkepov, P Gallegos, H Ahmed, E Ragozin, ...",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=280&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:RoXSNcbkSzsC
2011,Directed Coulomb explosion effect on proton acceleration by an intense laser pulse from a double-layer target,"arXiv preprint arXiv:1103.0332, 2011","T Morita, SV Bulanov, TZ Esirkepov, J Koga, M Kando",1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=280&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:t-hv7AR41mYC
2011,Highly-Efficient Ion Acceleration in Laser Plasma via Interaction of Intense Laser Pulse with Cluster-Gas Target,"High Intensity Lasers and High Field Phenomena, HThA4, 2011","Y Fukuda, M Tampo, M Kando, Y Hayashi, K Kawase, AY Faenov, ...",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=O1ei02sAAAAJ&cstart=280&sortby=pubdate&citation_for_view=O1ei02sAAAAJ:oPLKW5k6eA4C
2010,Examining the neural correlates of choice behavior in a gambling task using steady state topography.,"Journal of Neuroscience, Psychology, and Economics 3 (1), 46, 2010","J Casey, A Pipingas, R Silberstein, LA Downey, PJ Johnston",6,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=afATWNwAAAAJ&cstart=20&sortby=pubdate&citation_for_view=afATWNwAAAAJ:bEWYMUwI8FkC
2010,method to determine the psychological impact of entertainment or individual presenters,"US Patent App. 12/520,853, 2010",RB Silberstein,2,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=afATWNwAAAAJ&cstart=20&sortby=pubdate&citation_for_view=afATWNwAAAAJ:70eg2SAEIzsC
2010,Method for evaluating the effectiveness of commercial communication,"US Patent App. 12/520,863, 2010",RB Silberstein,44,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=afATWNwAAAAJ&cstart=20&sortby=pubdate&citation_for_view=afATWNwAAAAJ:-f6ydRqryjwC
2010,Assessment of computer games,"US Patent App. 12/520,857, 2010",RB Silberstein,3,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=afATWNwAAAAJ&cstart=20&sortby=pubdate&citation_for_view=afATWNwAAAAJ:B3FOqHPlNUQC
2010,Method to determine the attributes associated with a brand or product,"US Patent App. 12/520,868, 2010",RB Silberstein,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=afATWNwAAAAJ&cstart=20&sortby=pubdate&citation_for_view=afATWNwAAAAJ:738O_yMBCRsC
2010,Cognitive abilities improving agent,"US Patent App. 11/658,965, 2010","MAE Frevel, A Pipingas, R Silberstein, LE Stenswick",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=afATWNwAAAAJ&cstart=20&sortby=pubdate&citation_for_view=afATWNwAAAAJ:SP6oXDckpogC
2010,Method to evaluate psychological responses to visual objects,"US Patent App. 12/520,860, 2010",RB Silberstein,13,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=afATWNwAAAAJ&cstart=20&sortby=pubdate&citation_for_view=afATWNwAAAAJ:SeFeTyx0c_EC
